,Target,importance
3262,"Epithelium_Mammary_Gland | H3K27me3 | ID:41152
",0.09616725
5108,"GM08714_Blood | ZNF274 | ID:45583
",0.09602806
8080,"Dendritic_Cell | H3K4me1 | ID:53574
",0.0960235
8192,"Neutrophil_cell | H3K27ac | ID:53791
",0.09598463
17870,"LREX'_Epithelium_Prostate | H3K4me3 | ID:83159
",0.09562741
17348,"H1299_Epithelium_Lung | H3K27me3 | ID:81746
",0.09558674
18925,"C4-2_Prostate | BRD4 | ID:86205
",0.095577516
39,"H9_Embryonic_Stem_Cell_Embryo | H3K9me3 | ID:1058
",0.09550403
17206,"MRC5_Fibroblast_Lung | H3K4me3 | ID:81376
",0.09545946
4616,"HRE_Epithelium | DNase | ID:45004
",0.09538085
3978,"HEK293T_Epithelium_Embryonic_Kidney | H3K4me1 | ID:43072
",0.09534444
4675,"SKMC_Myoblast_Skeletal_Muscle | DNase | ID:45063
",0.09533658
424,"MCF-7_Epithelium_Breast | GATA3 | ID:2324
",0.09517682
5657,"GM12878_B_Lymphocyte_Blood | MEF2C | ID:46144
",0.095163174
6727,"LS174T_Epithelium_Colon | ZBTB17 | ID:49276
",0.095104024
7404,"DKO1_Colon_cancer_cell_Colon | H3K4me3 | ID:51152
",0.094922975
3995,"MM1.S_B_Lymphocyte_Blood | CDK8 | ID:43095
",0.094903335
20964,"HepG2 | BRCA1 | ENCODE
",0.094869
3928,"HCT-116_Colon | H3K4me1 | ID:42908
",0.09461501
7671,"ZR-75-1_Epithelium_Mammary_Gland | H3K27me3 | ID:51800
",0.09460669
11454,"A549_Epithelium_Lung | EP300 | ID:63650
",0.09449556
18497,"Fibroblast_Embryo | H3K27me3 | ID:8504
",0.094464615
12032,"K562_Erythroblast_Bone_Marrow | TSC22D4 | ID:64519
",0.094383605
519,"T98G_Brain | EP300 | ID:2753
",0.09434057
18230,"Clear_cell_renal_cell_carcinoma_tumor | H3K27ac | ID:84295
",0.094124734
10126,"caki-1_Kidney | KDM5C | ID:58887
",0.094115846
9410,"HCT-116_Colon | POLR2A | ID:57088
",0.0940799
8251,"MCF-7_Epithelium_Breast | EP300 | ID:54003
",0.09399548
15803,"LNCaP_Epithelium_Prostate | AR | ID:74411
",0.09368775
14227,"LNCaP_Epithelium_Prostate | TRIM24 | ID:69202
",0.09364807
21493,"MCF-7 | Pol2 | ENCODE
",0.09334069
473,"MR4_Promyelocytic_cell_Bone_Marrow | PML | ID:2448
",0.09325295
14608,"T98G_Glioblastoma_cell | H3K9ac | ID:70928
",0.093220145
20633,"H1_BMP4_Derived_Mesendoderm_Cultured_Cells | H3K9me3 | Roadmap
",0.09314374
1871,"Sigmoid_Colon | H3K9me3 | ID:36863
",0.09307521
21732,"Penis_Foreskin_Melanocyte_Primary_Cells_skin01 | H3K4me3 | Roadmap
",0.093047135
7543,"HUES64_Embryonic_Stem_Cell_Embryo | NANOG | ID:51513
",0.09298419
17775,"Breast | ESR1 | ID:82853
",0.09287952
21023,"HepG2 (forskolin) | Pol2 | ENCODE
",0.09287684
20412,"Fetal_Placenta | H3K27me3 | Roadmap
",0.09285486
3670,"GM18505_Lymphoblastoid_Blood | H3K36me3 | ID:42376
",0.09278991
21866,"Stellate | DNase | ENCODE
",0.09277167
8845,"Kidney | H3K36me3 | ID:55498
",0.09267134
20947,"HeLa-S3 | STAT3 | ENCODE
",0.09259388
19696,"HCC1143 | STAT3 | ID:88680
",0.092566386
